Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11045270088,"26 Mar 2024, 22:52:34",Evening Run,Run,,1219,2.33,,,false,,,activities/11045270088.gpx,,,1219.0,967.0,2333.3,4.382,2.413,18.2,15.4,144.5,160.2,5.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2360.7,1711490432.0,3.0,6.8,4.5,3.8,0.82,1011.0,3.1,5.5,122.0,1.8,1711451392.0,1711496320.0,0.625,,,0.7,5.0,0.99,12348.0,1.0,,,,,0.0,1.914,436.0,,,,2318.0,,,,,,,,,,,,,""
11079279415,"31 Mar 2024, 20:24:50",Afternoon Run,Run,,2132,5.67,,,false,,,activities/11079279415.gpx,,,2132.0,1943.0,5672.8,5.102,2.92,15.1,13.9,76.6,84.5,6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5700.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.661,17.4,,,,5288.0,,,,,,,,,,,,,""
11079429726,"31 Mar 2024, 21:21:22",Afternoon Run,Run,,686,2.24,189.0,35,false,,,activities/11843350469.tcx.gz,,,686.0,679.0,2239.4,4.286,3.298,4.2,3.0,76.0,80.2,2.5,0.0,,,,,,171.0,,,137.0,,,35.0,,,,,,,,,,,,,0.0,,1.0,2243.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.265,0.0,,,,,,,,,,,,,,,,,""
11130913047,"7 Apr 2024, 20:24:43",Afternoon Run,Run,,1716,4.66,188.0,103,false,,,activities/11896849547.tcx.gz,,,1716.0,1702.0,4664.3,3.271,2.74,16.4,15.8,74.8,81.1,8.0,0.0,,,,,188.0,177.0,,,362.0,,,103.0,,,,,,,,,,,,,0.0,,1.0,4696.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.718,0.0,,,,,,,,,2.759,,,,,,,,""
11167541935,"12 Apr 2024, 21:56:45",Afternoon Run,Run,,3936,3.47,179.0,32,false,,,activities/11934463297.tcx.gz,,,3936.0,1518.0,3471.3,3.217,2.287,18.3,11.0,144.5,160.2,4.0,0.2,,,,,179.0,149.0,,,371.0,,,32.0,,,,,,,,,,,,,0.0,,1.0,3501.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.882,422.8,,,,,,,,,2.307,,,,,,,,""
11184002400,"14 Apr 2024, 20:26:18",Afternoon Run,Run,,2276,6.06,187.0,138,false,,,activities/11951480777.tcx.gz,,,2276.0,2276.0,6059.2,3.946,2.662,9.2,6.7,76.6,80.2,4.0,0.0,,,,,187.0,177.0,,,474.0,,,138.0,,,,,,,,,,,,,0.0,,1.0,6069.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.662,0.0,,,,,,,,,2.667,,,,,,,,""
11193804774,"16 Apr 2024, 10:24:40",Morning Run,Run,why’d my fitbit pause itself half way thru :(,1114,2.47,182.0,38,false,,,activities/11961566673.tcx.gz,,,1114.0,911.0,2471.0,2.91,2.712,17.7,15.3,141.9,153.4,12.7,0.1,,,,,182.0,165.0,,,173.0,,,38.0,,,,,,,,,,,0.0,,0.0,,1.0,2512.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.218,715.0,,,,,,,,,2.758,,,,,,,,""
11235026729,"21 Apr 2024, 20:30:24",Afternoon Run,Run,,1887,5.40,,,false,,,activities/11235026729.gpx,,,1887.0,1887.0,5400.1,4.474,2.862,7.8,7.8,76.9,80.2,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5408.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.862,0.0,,,,4602.0,,,,,2.866,,,,,,,,""
11235044650,"21 Apr 2024, 20:30:10",Afternoon Run,Run,,1907,5.27,183.0,97,false,,,activities/12003937409.tcx.gz,,,1907.0,1902.0,5270.9,3.642,2.771,5.7,5.7,76.9,80.2,5.3,0.0,,,,,183.0,170.0,,,379.0,,,97.0,,,,,,,,,,,,,0.0,,1.0,5281.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.764,0.0,,,,,,,,,2.777,,,,,,,,""
11277356922,"27 Apr 2024, 16:38:16",Afternoon Run,Run,,1887,5.42,,,false,,,activities/11277356922.gpx,,,1887.0,1884.0,5422.4,4.15,2.878,5.7,5.7,76.9,80.2,4.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5431.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.874,0.0,,,,4642.0,,,,,2.883,,,,,,,,""
